title,release date,review,discount
DRAGON BALL FighterZ,"26 Jan, 2018","Very Positive<br>80% of the 2,041 user reviews for this game are positive.","
"
ELEAGUE 2018 Boston CS:GO Major Championship Mega Bundle,"19 Dec, 2017",none,"
"
Subnautica,"23 Jan, 2018","Very Positive<br>93% of the 49,239 user reviews for this game are positive.","
-10%
"
PLAYERUNKNOWN'S BATTLEGROUNDS,"21 Dec, 2017","Mixed<br>56% of the 516,836 user reviews for this game are positive.","
"
Black Desert Online,"24 May, 2017","Mostly Positive<br>71% of the 7,882 user reviews for this game are positive.","
-50%
"
Slay the Spire,"14 Nov, 2017","Overwhelmingly Positive<br>96% of the 3,890 user reviews for this game are positive.","
"
Planet Coaster,"17 Nov, 2016","Very Positive<br>89% of the 15,831 user reviews for this game are positive.","
-75%
"
Divinity: Original Sin 2,"14 Sep, 2017","Very Positive<br>94% of the 21,447 user reviews for this game are positive.","
"
Far Cry® 4,Nov 2014,"Mostly Positive<br>77% of the 14,887 user reviews for this game are positive.","
-50%
"
Rocket League®,"6 Jul, 2015","Very Positive<br>92% of the 144,154 user reviews for this game are positive.","
"
Railway Empire,"26 Jan, 2018",Very Positive<br>82% of the 348 user reviews for this game are positive.,"
"
The Witness,"26 Jan, 2016","Very Positive<br>85% of the 4,712 user reviews for this game are positive.","
-75%
"
Far Cry® Primal,"1 Mar, 2016","Mostly Positive<br>75% of the 7,868 user reviews for this game are positive.","
-50%
"
Counter-Strike: Global Offensive,"21 Aug, 2012","Very Positive<br>89% of the 2,422,175 user reviews for this game are positive.","
"
Total War: WARHAMMER II,"28 Sep, 2017","Very Positive<br>88% of the 7,319 user reviews for this game are positive.","
"
Valley,"24 Aug, 2016","Very Positive<br>91% of the 1,753 user reviews for this game are positive.","
-75%
"
Black Desert Online,"24 May, 2017","Mostly Positive<br>71% of the 7,882 user reviews for this game are positive.","
-50%
"
Total War: WARHAMMER II - Rise of the Tomb Kings,"24 Jan, 2018","Very Positive<br>86% of the 1,049 user reviews for this game are positive.","
"
Tom Clancy's Rainbow Six® Siege - Year 3 Pass,"12 Dec, 2017","Very Positive<br>90% of the 1,669 user reviews for this game are positive.","
"
EVERSPACE™ - Ultimate Edition,,"Very Positive<br>80% of the 2,834 user reviews for games in this bundle are positive.","
-55%
"
EVERSPACE™,"25 May, 2017","Very Positive<br>80% of the 2,764 user reviews for this game are positive.","
-40%
"
They Are Billions,"12 Dec, 2017","Very Positive<br>88% of the 5,877 user reviews for this game are positive.","
"
My Time At Portia,"23 Jan, 2018","Very Positive<br>93% of the 1,134 user reviews for this game are positive.","
"
Human: Fall Flat,"22 Jul, 2016","Very Positive<br>90% of the 8,940 user reviews for this game are positive.","
"
Celeste,"25 Jan, 2018",Very Positive<br>99% of the 283 user reviews for this game are positive.,"
"
